Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2018,Tai Po Town Lot No. 198,88 Universal Gate Road Tai Po,Institution / Community,75960000,TAI PO,6 February 2018
2018,Tuen Mun Town Lot No. 462,25 Yeung Tsing Road Tuen Mun,Other Uses,1200000,TUEN MUN,2 January 2018
2018,New Kowloon Inland Lot No. 5948,7 Wang Tai Road Kowloon Bay,Non Residential,1651980000,KWUN TONG,8 January 2018
2018,Kowloon Inland Lot No. 7778,103-105 Tung Chau Street Tai Kok Tsui,Non Residential,76100000,YAU TSIM MONG,16 January 2018
2018,Aberdeen Inland Lot No. 467,Heung Yip Road Wong Chuk Hang,Residential R1 (For Site B only),5213810000 (For Site B only),SOUTHERN,23 January 2018
2019,Inland Lot No. 2304 and Extension,16 Bowen Road Wan Chai,Residential R3,304440000,WAN CHAI,4 February 2019
2015,Fanling Sheung Shui Town Lot No. 187,8 10 and 12 Chi Fuk Circuit Fanling,Other Uses,22420000,NORTH,21 December 2015
2018,Aberdeen Inland Lot No. 467,Heung Yip Road Wong Chuk Hang,Commercial / Residential (For Site C only),12971290000 (For Site C only),SOUTHERN,28 September 2018
2018,Ap Lei Chau Inland Lot No. 83 Remaining Portion and Extensions,2 Yi Nga Drive Ap Lei Chau,Hotel / Other Uses,656210000,SOUTHERN,25 May 2018
2019,Tsing Yi Town Lot No. 181,38 Tsing Yi Hong Wan Road Tsing Yi,Other Uses,1380000,KWAI TSING,24 June 2019
2019,Kowloon Inland Lot No. 11205,38 Hung Luen Road Hung Hom,Hotel,5520000,KOWLOON CITY,25 June 2019
2019,Lot No. 667 in Demarcation District No. 4 Mui Wo,Mui Wo Lantau Island,Commercial / Residential,6360000,ISLANDS,23 May 2019
2019,Lot No. 1066 in Demarcation District No. 103,Au Tau Yuen Long,Residential R3,1380000,YUEN LONG,17 April 2019
2019,Rural Building Lot No. 378,19 Middle Gap Road The Peak,Residential R3,1380000,WAN CHAI,10 April 2019
2019,New Kowloon Inland Lot No. 5491,Upper Roof (& Penthouse if and when the same is erected Thereon and Top Roof of the Penthouse) 15 Cheung Yue Street Cheung Sha Wan,Industrial,1380000,SHAM SHUI PO,27 March 2019
2019,Lot No. 816 in Demarcation District No. 110,Shek Kong San Tsuen Yuen Long,Residential R4,500000,YUEN LONG,13 February 2019
2015,Inland Lot No. 2302 Section M and Extension and Inland Lot No. 2302 Section X and Extension,12 Shiu Fai Terrace Happy Valley,Residential R2,82710000,WAN CHAI,20 July 2015
2015,Tseung Kwan O Town Lot No. 70 Section A and Tseung Kwan O Town Lot No. 70 Remaining Portion,Site E 1 Lohas Park Road Tseung Kwan O,Commercial / Residential,516800,SAI KUNG,30 July 2015
2015,Shau Kei Wan Inland Lot No. 634,31-69 Chai Wan Road Shau Kei Wan,Residential R1,3002170000,EASTERN,21 July 2015
2015,Tuen Mun Town Lot No. 113,Castle Peak Road Tuen Mun,Residential R3,20360000,TUEN MUN,7 July 2015
2015,Kun Tong Inland Lot No. 23,107 How Ming Street Kwun Tong,Commercial / Other Uses,1100000,KWUN TONG,7 July 2015
2015,Lot No. 10 in Demarcation District No. 231,Chuk Kok Sai Kung,Residential R4,6310000,SAI KUNG,2 July 2015
2015,Kwun Tong Inland Lot No. 680,93 Wai Yip Street Kwun Tong,Non Residential,73260000,KWUN TONG,24 June 2015
2019,Tsuen Wan Town Lot No. 353,8 Yeung Uk Road Tsuen Wan,Commercial,10190000,TSUEN WAN,1 March 2019
2018,Lot No. 97 in Demarcation District No. 388,115 Castle Peak Road Tsing Lung Tau Tsuen Wan,Residential R3,65910000,TSUEN WAN,10 December 2018
2019,Kowloon Inland Lot No. 3275 and Kowloon Inland Lot No. 3276,10 and 12A La Salle Road and 168 and 168C Boundary Street Kowloon Tong,Residential R2,259880000,KOWLOON CITY,30 January 2019
2019,Aberdeen Inland Lot No. 352 Section A Aberdeen Inland Lot No. 352 Section B and Aberdeen Inland Lot No. 352 Remaining Portion,38 Wong Chuk Hang Road Wong Chuk Hang,Commercial,6390000,SOUTHERN,10 January 2019
2018,Aberdeen Inland Lot No. 366,Factory A on Ground Floor 40 Wong Chuk Hang Road Wong Chuk Hang,Commercial,1380000,SOUTHERN,4 December 2018
2018,Inland Lot No. 8666,8 Wong Nai Chung Gap Road Happy Valley,Residential R2,1380000,WAN CHAI,4 October 2018
2018,Lot No. 1752 in Demarcation District No. 122,Tong Yan San Tsuen Yuen Long,Residential R3,1380000,YUEN LONG,15 October 2018
2018,Kowloon Inland Lot No. 10663,1 Cheong Tung Road Hung Hom,Hotel,699440000,KOWLOON CITY,21 September 2018
2018,New Kowloon Inland Lot No. 904,1 Somerset Road Kowloon Tong,Residential R3,13510000,KOWLOON CITY,7 June 2018
2019,Tuen Mun Town Lot No. 378 Remaining Portion and Extension,26 Yung Long Road Tuen Mun,Other Uses,231620000,TUEN MUN,17 September 2019
2015,Kowloon Inland Lot No. 2453,279 279A 279B and 279C Prince Edward Road West Kowloon City,Residential R2,271500000,KOWLOON CITY,1 December 2015
2014,Kwun Tong Inland Lot No. 81,71 Hung To Road Kwun Tong,Commercial,2150000,KWUN TONG,6 August 2014
2013,Tsuen Wan Town Lot No. 352,8 Po Fung Terrace Tsuen Wan,Residential R3,500000,TSUEN WAN,17 September 2013
2013,Kwai Chung Town Lot No. 131,72-76 Kwai Cheong Road Kwai Chung,Industrial / Godown,7120000,KWAI TSING,5 September 2013
2019,Lot No. 322 in Demarcation District No. 355,Tsuen Wan,Non Residential,904750000,TSUEN WAN,22 July 2019
2019,Tsuen Wan Town Lot No. 160,13-23 Wang Wo Tsai Street Tsuen Wan,Commercial / Residential,468460000,TSUEN WAN,30 July 2019
2015,Lot No. 326 in Demarcation District No. 444,54-56 Ta Chuen Ping Street Kwai Chung,Other Uses,51400000,KWAI TSING,16 January 2015
2016,Kowloon Inland Lot No. 9692,78-80 Maidstone Road To Kwa Wan,Residential R1,178740000,KOWLOON CITY,27 June 2016
2014,Lot No. 724 in Demarcation District No. 332,Cheung Sha Lantau Island,Residential R4,7000000,ISLANDS,24 July 2014
2014,Lot No. 726 in Demarcation District No. 332,Cheung Sha Lantau Island,Residential R4,7000000,ISLANDS,24 July 2014
